Artist,Song,Streams,Genre
Beach Bunny,6 Weeks,"5,366,283",
Beach Bunny,Call Me Baby,"3,813,228",
Beach Bunny,Oozin,"1,354,684",
The Marias,Over the Moon,"23,522,341",
The Marias,ABQ,"6,451,781",
The Marias,Loverboy,"4,714,597",
The Marias,Ruthless,"26,705,853",
The Marias,Clueless,"25,275,133",
The Marias,Cariño,"24,819,976",
The Marias,Only in My Dreams,"45,946,337",
The Marias,Basta Ya,"14,216,270",
The Marias,Superclean,"4,690,989",
The Marias,I Like It,"7,618,027",
The Marias,Déjate Llevar,"8,077,729",
The Marias,I Don't Know You,"64,773,840",
Sales,Sorry Bro,"16,561,083",
Sales,Crash,"2,958,290",
Sales,Pope Is a Rockstar,"36,812,760",
Sales,Best Times,"2,852,103",
Sales,Jamz,"17,879,187",
Sales,Big Sis,"31,588,495",
Sales,Toto (Xxyyxx Remix),"2,124,402",
Sales,Getting It On,"21,556,556",
Sales,Chinese New Year,"78,570,502",
Sales,Renee,"26,352,606",
Mother Mother,Heart Heavy,"2,318",
Mother Mother,Burning Pile,"89,678,609",
Mother Mother,Absinth Tears - Feat. Mother Mother,"85,940",
Mother Mother,Body Of Years,"4,983,562",
Mother Mother,O My Heart,"7,670,946",
Mother Mother,Sleep Awake,"3,981,029",
Mother Mother,Try To Change,"3,348,600",
Mother Mother,Miles,"3,410,790",
Mother Mother,Wisdom,"6,366,053",
Mother Mother,Wrecking Ball,"27,446,244",
Mother Mother,Ghosting,"47,227,016",
Mother Mother,Body,"50,692,938",
Mother Mother,Arms Tonite,"77,283,105",
Mother Mother,Hayloft,"176,297,507",
Mother Mother,Oh Ana,"74,299,082",
Mother Mother,Tic Toc,"3,524,304",
Mother Mother,Touch Up,"1,909,950",
Mother Mother,Verbatim,"101,129,837",
Mother Mother,Little Hands,"1,180,916",
Mother Mother,Ball Cap,"1,537,735",
Mother Mother,Neighbour,"3,764,438",
Mother Mother,Train Of Thought,"1,223,464",
Mother Mother,Legs Away,"3,068,938",
Mother Mother,Polynesia,"1,752,085",
Mother Mother,Angry Sea,"1,818,549",
Mother Mother,Dirty Town,"6,162,706",
Mother Mother,Love And Truth,"1,875,094",
Mother Mother,Fat Kids,"26,554",
Mother Mother,Babies,"23,368",
Mother Mother,Mamma Told Me,"24,010",
Mother Mother,Home Recording,"19,542",
Nilüfer Yanya,Day 7.5093,"457,426",
Nilüfer Yanya,Same Damn Luck,"1,759,334",
Nilüfer Yanya,Crash,"1,786,057",
Nilüfer Yanya,Super Rich Kids - triple j Like A Version,"866,872",
Nilüfer Yanya,H34T RISES,"2,764,807",
Nilüfer Yanya,Damascus,"37,076",
Nilüfer Yanya,Melt,"1,049,215",
Nilüfer Yanya,Heat Rises,"1,293,145",
Nilüfer Yanya,Warning,"1,001",
Nilüfer Yanya,“Sparkle” GOD HELP ME,"489,756",
Nilüfer Yanya,Baby Blu,"9,737,014",
Nilüfer Yanya,WWAY HEALTH ™,"665,888",
Nilüfer Yanya,Experience?,"652,591",
Nilüfer Yanya,Give Up Function,"359,196",
Nilüfer Yanya,Paralysed,"1,533,258",
Nilüfer Yanya,Angels,"1,083,585",
Nilüfer Yanya,The Unordained,"555,811",
Nilüfer Yanya,Paradise,"1,188,170",
Nilüfer Yanya,Tears,"2,356,326",
Nilüfer Yanya,In Your Head,"4,267,997",
Nilüfer Yanya,Heavyweight Champion of the Year,"4,155,773",
Nilüfer Yanya,Thanks 4 Nothing - Jazzi Bobbi Remix,"138,435",
Nilüfer Yanya,Thanks 4 Nothing,"4,519,282",
Nilüfer Yanya,Baby Luv,"5,981,373",
Nilüfer Yanya,Sliding Doors,"3,484,114",
Nilüfer Yanya,Golden Cage,"3,194,503",
Nilüfer Yanya,Keep on Calling,"14,057,147",
Nilüfer Yanya,Hey - NTS Live Session,"1,699,186",
Nilüfer Yanya,Small Crimes,"2,093,863",
Nilüfer Yanya,Hey,"7,304,427",
Eyedress,Jealous,"87,182,045",
Eyedress,Trauma,"957,182",
Eyedress,I Don't Wanna Be Your Friend,"3,167,029",
Eyedress,Serotonin Shawty,"42,445",
Eyedress,Caviar,"89,179",
Eyedress,I Know They Hating,"66,249",
Eyedress,Detective Pikachu,"12,338",
Eyedress,Sensitive G,"358,012",
Eyedress,PTSD,"187,800",
Eyedress,My Child / Old Soul,"137,323",
Eyedress,Stay Calm,"1,130,383",
Eyedress,Young Old Man,"140,653",
Eyedress,Babygirl,"280,377",
Eyedress,Sleeping on the Couch,"157,867",
Eyedress,Cure for Cancer,"248,652",
Eyedress,Suntory Times,"151,772",
Eyedress,Ancient Love,"180,183",
Eyedress,No Love in the City,"319,714",
Eyedress,Window Eyes,"1,010,084",
Eyedress,White Girl,"184,241",
Eyedress,Nice Girl from a Nice Part of Town,"222,389",
Eyedress,Xenophobic,"3,388,164",
Eyedress,Alone Time,"576,838",
Eyedress,Be a Better Friend,"1,497,472",
Eyedress,No Fun,"300,954",
Eyedress,Toxic Masculinity,"800,317",
Eyedress,Things That Mean a Lot,"101,933",
Eyedress,Bolero Lang Sila - feat. Sexy Jay,"245,942",
Eyedress,Gwapo ko Galing Sa'Yo,"337,145",
Eyedress,Cocaine Sunday,"140,206",
Eyedress,Detonate Interlude,"1,045",
Eyedress,Girls,"29,534",
Eyedress,Love All Around,"204,536",
Eyedress,Pentagram Land,"151,251",
Eyedress,Third Eye Kisses,"364,341",
Eyedress,Used to Be Good Friends,"234,487",
Eyedress,Feel Like Givinig Up,"214,419",
Eyedress,Family Tree,"156,146",
Eyedress,Sofia Coppola,"685,525",
Eyedress,Big Shoes,"427,676",
Eyedress,Can't Run From Pain,"319,424",
Eyedress,Look Past the Past,"83,265",
Eyedress,Living Room,"89,852",
Eyedress,Sticky Green Leaves,"99,038",
Eyedress,Separation Anxiety,"6,422,236",
Eyedress,Manila Ice,"3,323,993",
Eyedress,High Street Drive By,"637,754",
Eyedress,Where My Girl At?,"158,844",
Eyedress,Stills - Eyedress Remix,"7,931",
Eyedress,When I'm Gone,"725,844",
Eyedress,My Hologram,"290,180",
