Artist,Song,Streams,Genre,Class
Surfaces,Grace,12431681,,1.916774441869352
Surfaces,Beautiful Day,3432699,,1.4341530516942207
Surfaces,Someday,4764444,,1.557099305608287
Surfaces,Home,2524942,,1.3189718229112044
Surfaces,Outside Interlude,1980000,,1.2277950707277263
Surfaces,Sunday Best,183333355,,2.9259911670325973
Surfaces,Sunday Best - Sped Up,2434,,0.0
Surfaces,Where The Light Is,8138335,,1.7578899903663185
Surfaces,Ocean Breeze - Acoustic,575125,,0.7641641014005349
Surfaces,Kid Kingdoms - Acoustic,722705,,0.8498250514714806
Surfaces,Loving - Acoustic,675133,,0.8242890384086017
Surfaces,Heaven Falls / Fall on Me,44500609,,2.39502812610855
Surfaces,Shine On Top,14639523,,1.9780824876040326
Surfaces,Low,4301305,,1.51874826061426
Surfaces,Ocean Breeze,4547636,,1.5396331069280496
Surfaces,Stay,4091561,,1.5
Surfaces,The Way,1108974,,1.0104070455550642
Surfaces,24 / 7 / 365,56651285,,2.485563828548469
Surfaces,Seattle Interlude,891628,,0.9285983761341003
Surfaces,Islands,1138732,,1.0203377628154011
Surfaces,Alone,2075121,,1.2453922655257055
Surfaces,Kid Kingdoms,1706632,,1.172075607967757
Surfaces,Loving,15996463,,2.011325807615692
Surfaces,Falling,5472787,,1.609080581651314
Surfaces,Be Alright,5599227,,1.617646384127586
Surfaces,Sheesh!,875388,,0.9217047349776775
Powfu,So Long,164267,,0.4697698332728697
Powfu,make you mine (feat. Powfu),4664596,,1.8002779812111207
Powfu,Won't Be the Last Time,361118,,0.78297116996326
Powfu,the day i died,4639566,,1.7981386761460345
Powfu,don't fall asleep yet,6432395,,1.9280484872534753
Powfu,Are You Okay?,6420278,,1.9272987831469697
Powfu,Betrayal,583040,,0.9734466149811053
Powfu,Laying on my porch while we watch the world end.,14275553,,2.2450244082737765
Powfu,Homicide,3087345,,1.636188126915642
Powfu,You Left Me Alone with My Nightmares,500083,,0.9124207410635996
Powfu,Hide in Your Blue Eyes,2554363,,1.5608374775627458
Powfu,We Need a Break,131091,,0.3800688847630471
Powfu,about you,2135122,,1.489554204075297
Powfu,Fall in Love,321155,,0.7363391524788385
Powfu,Hear my thoughts,6580364,,1.9370913967376395
Powfu,when things were awkward,3005640,,1.6255238209837832
Powfu,step into my life,10125654,,2.1084545336283864
Powfu,Dead Eyes,48097779,,2.727997272608155
Powfu,Letters in December,4634332,,1.7976898692360812
Powfu,when we were 16,8453534,,2.036690710718836
Powfu,Cold,46458,,0.0
Powfu,tell me when you change,3727194,,1.7110757841994977
Powfu,Mindurmanners,5150059,,1.8396442038819107
Powfu,All Again,3072471,,1.6342679160639386
Powfu,I Can See the Light,108054,,0.30322701322189705
Powfu,Koolaid Summers,2316431,,1.5219610018066883
Powfu,Chocolate Milk,124492,,0.35953233518245553
Powfu,Break Ups Suck Ass,7274690,,1.9769761836194408
Powfu,Would Look Perfect,23179946,,2.437761869812098
Powfu,I Love U Dad,2191958,,1.5
Powfu,Calling,117304,,0.33588558177245575
Powfu,"Different Class, Same Boat",5322233,,1.852719545881765
Powfu,Separate from You,812242,,1.105271316756054
Powfu,Bored Without You,449642,,0.8701459049737161
Powfu,"Long Fights, Short Tempers",2535948,,1.5579606269601936
Powfu,Letter to the Rich,242440,,0.6245434758320546
Powfu,Imagine You,477352,,0.8939239556830588
Powfu,Way Too Far,39072,,0.0
Powfu,Thoughts,251641,,0.6393541050433047
Powfu,All My Friends,400684,,0.8243099859969043
Powfu,Patient,54059,,0.02786331031670919
Powfu,I Miss the Old You,2088711,,1.4808160511811175
Powfu,Feel Inside,29720,,0.0
Powfu,What This Means,2042271,,1.4718758936061127
Powfu,Met at a Party,2245982,,1.5096808780039426
Powfu,I Won't Let U Down,1488962,,1.3462376333697934
Powfu,My Mind,89467,,0.22817426019829168
Powfu,Her Ocean Eyes,2570334,,1.5633157744567587
Powfu,Innocence,192871,,0.5335973089736985
Powfu,Good for Nothing,2360205,,1.52940460720288
Powfu,death bed (coffee for your head),874031080,,2.2936736248982608
Powfu,Blue Waves,2667180,,1.57802175571592
Powfu,To Be With You,152289,,0.4396656681373925
Powfu,Phases,202994,,0.5539369276404082
Powfu,Mislead,118483,,0.3398619085059018
Powfu,Feel That Again,3503281,,1.6864415294718245
Powfu,Running Through the Rain,2273408,,1.5145067519026276
Powfu,Like Autumn,136278,,0.39549812777475135
Powfu,Life Is Changing,3054055,,1.6318775172169717
Powfu,Nothing Matters,2499963,,1.5522781346155845
Powfu,I Can't Sleep,32554152,,2.5727974183164246
Powfu,The Story of the Paper Boy,3505836,,1.6867314077474944
Powfu,In a Bit,1633279,,1.3830207518986084
Powfu,Lovemark,21465773,,2.407214309303489
Powfu,You Melt Away the Snow,585580,,0.9751750319509027
Powfu,Scars on My Heart,8281494,,2.0285153595331393
Powfu,Breakfast With the Moon,10729923,,2.131501714782127
Powfu,I Know You're Not Happy,4268907,,1.7650324127944963
Powfu,Sorry I Never Apologized,7136637,,1.9693581430734008
Powfu,Douchebags,2008941,,1.46533332769169
Powfu,Sleepless Nights,379243,,0.8024430673513863
Powfu,Days We Had,5273241,,1.8490425260598697
Powfu,I See Your Ghost When I'm Alone,1556844,,1.3639636930521783
